% {"flow_id": 6969, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["classifier__bootstrap", "classifier__criterion", "classifier__max_depth", "classifier__max_features", "classifier__max_leaf_nodes", "classifier__min_samples_leaf", "classifier__min_samples_split", "classifier__min_weight_fraction_leaf", "classifier__n_estimators", "imputation__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 500}
@RELATION openml-meta-flow-6969

@ATTRIBUTE classifier__bootstrap {True, False}
@ATTRIBUTE classifier__criterion {entropy, gini}
@ATTRIBUTE classifier__max_depth {None}
@ATTRIBUTE classifier__max_features NUMERIC
@ATTRIBUTE classifier__max_leaf_nodes {None}
@ATTRIBUTE classifier__min_samples_leaf {18, 20, 2, 7, 3, 6, 16, 14, 9, 15, 4, 8, 17, 12, 10, 13, 5, 11, 19, 1}
@ATTRIBUTE classifier__min_samples_split {9, 19, 15, 2, 4, 10, 18, 20, 5, 8, 3, 17, 7, 14, 6, 12, 16, 11, 13}
@ATTRIBUTE classifier__min_weight_fraction_leaf NUMERIC
@ATTRIBUTE classifier__n_estimators {100}
@ATTRIBUTE imputation__strategy {median, most_frequent, mean}
@ATTRIBUTE y NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
False,gini,None,0.1069966008004756,None,12,6,0.0,100,most_frequent,0.972153,3
True,gini,None,0.7796961794936313,None,8,11,0.0,100,mean,0.981227,3
True,gini,None,0.5435577435248204,None,9,20,0.0,100,mean,0.982478,3
False,gini,None,0.4476460446584811,None,8,13,0.0,100,most_frequent,0.984981,3
True,gini,None,0.7958092536843104,None,5,8,0.0,100,median,0.988736,3
False,gini,None,0.5493445015573155,None,15,13,0.0,100,most_frequent,0.982165,3
True,gini,None,0.14622527675975167,None,1,15,0.0,100,most_frequent,0.986546,3
True,gini,None,0.8406217988568417,None,5,15,0.0,100,most_frequent,0.986546,3
True,gini,None,0.8983758939080089,None,11,10,0.0,100,most_frequent,0.982165,3
True,entropy,None,0.4788604019129866,None,3,15,0.0,100,most_frequent,0.992178,3
False,entropy,None,0.3786625456942361,None,10,9,0.0,100,mean,0.984043,3
False,gini,None,0.766535370709721,None,9,3,0.0,100,most_frequent,0.977159,3
False,gini,None,0.2519096922104662,None,2,18,0.0,100,median,0.993429,3
False,gini,None,0.8833459858881608,None,10,7,0.0,100,most_frequent,0.976846,3
True,gini,None,0.7841046387847832,None,19,19,0.0,100,median,0.968711,3
True,entropy,None,0.1552814998025167,None,4,2,0.0,100,most_frequent,0.986859,3
