% {"flow_id": 6970, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["adaboostclassifier__algorithm", "adaboostclassifier__learning_rate", "adaboostclassifier__base_estimator__max_depth", "adaboostclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 400}
@RELATION openml-meta-flow-6970

@ATTRIBUTE adaboostclassifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE adaboostclassifier__learning_rate NUMERIC
@ATTRIBUTE adaboostclassifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE adaboostclassifier__n_estimators NUMERIC
@ATTRIBUTE columntransformer__numeric__imputer__strategy {median, mean, most_frequent}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
SAMME,0.04634925543315842,6,307,mean,0.993429,3
SAMME,0.192651009134867,1,331,median,0.848248,3
SAMME.R,0.3587068104505921,6,496,median,0.993116,3
SAMME.R,0.13602389560031633,2,395,median,0.994994,3
SAMME.R,0.04727643455017224,3,195,mean,0.995307,3
SAMME,0.033860996289292525,1,61,most_frequent,0.904255,3
SAMME,0.02569541182726563,1,397,most_frequent,0.904255,3
SAMME,0.014683709553612381,5,318,mean,0.962453,3
SAMME.R,0.1151901292380651,4,496,median,0.995932,3
SAMME.R,0.07067351760915577,6,134,median,0.99562,3
SAMME,0.01072367045788741,6,267,median,0.963392,3
SAMME.R,0.11185549360616613,2,107,mean,0.985294,3
SAMME,0.017475715712468712,1,438,mean,0.904255,3
SAMME.R,0.12712992881782356,5,215,most_frequent,0.993742,3
SAMME.R,0.024801577520597428,3,159,most_frequent,0.988736,3
SAMME,1.4838293577553885,9,338,most_frequent,0.995932,3
SAMME,0.9238471512792228,9,92,median,0.995932,3
SAMME,0.025234288433584436,6,259,mean,0.98592,3
SAMME.R,0.46988531443248527,5,274,median,0.99562,3
SAMME,0.14495648190446736,5,275,mean,0.994681,3
SAMME.R,0.020436186978267483,8,367,median,0.993742,3
SAMME.R,0.015887725695742386,7,266,most_frequent,0.994368,3
SAMME,0.13369393242677594,3,307,mean,0.976533,3
SAMME.R,1.882390331271376,5,132,most_frequent,0.993429,3
SAMME.R,0.8788291823201909,1,120,most_frequent,0.969024,3
SAMME.R,0.02044196595145663,5,441,most_frequent,0.99562,3
SAMME.R,1.252458739344966,6,140,most_frequent,0.995932,3
SAMME,0.110243966088771,4,434,median,0.991239,3
SAMME.R,0.20822884572065548,3,262,median,0.994994,3
SAMME.R,1.6492000308890533,10,186,most_frequent,0.994681,3
SAMME.R,0.5657389469891831,2,268,mean,0.996871,3
SAMME.R,0.01287926521671314,5,68,median,0.993429,3
SAMME.R,0.07369340628822882,10,414,mean,0.989675,3
SAMME,0.031400604701931664,8,259,median,0.994368,3
SAMME.R,0.01932946277672804,3,445,median,0.994055,3
SAMME.R,0.08230046353272509,5,75,mean,0.996558,3
SAMME,0.020887939439697342,6,135,most_frequent,0.972778,3
SAMME.R,0.032078248387967634,5,160,most_frequent,0.995932,3
SAMME.R,0.03310482605503851,5,497,mean,0.995932,3
SAMME.R,0.01976360180344619,3,220,most_frequent,0.986546,3
SAMME.R,0.07985378073036187,3,215,most_frequent,0.995932,3
SAMME,0.013942436440519625,10,394,mean,0.996558,3
SAMME.R,0.04826476996015674,9,480,most_frequent,0.990613,3
SAMME,0.07930392591035054,9,160,mean,0.996245,3
SAMME.R,0.02900149318280186,8,224,median,0.994368,3
SAMME,0.9528065663081077,3,298,most_frequent,0.989675,3
SAMME.R,0.0403354067127425,5,473,median,0.995307,3
SAMME,0.07709775178801911,9,285,most_frequent,0.996245,3
SAMME.R,1.6259895347105222,4,312,median,0.997497,3
SAMME,0.08086124314545548,5,352,most_frequent,0.992491,3
SAMME,1.0884637519110467,9,336,median,0.99562,3
SAMME,0.764761684842565,8,314,most_frequent,0.996245,3
SAMME,1.7475892318958635,1,210,most_frequent,0.776283,3
SAMME.R,0.15240555233183345,7,446,mean,0.991239,3
SAMME.R,0.19491491359149155,6,339,mean,0.993429,3
SAMME.R,1.3347734362350294,8,477,median,0.996558,3
SAMME.R,0.02696079528300855,1,61,median,0.904255,3
SAMME.R,0.01838505917608217,7,314,most_frequent,0.993429,3
