task_id,gamma,complexity,tol,imputation,shrinking
Task 3485,0.9167855678584906,0.014415592463178209,0.005428109318402987,0.0015692687461038883,0.0001731373713222008
Task 3918,0.6472468253714092,0.030264208984098845,0.02466358774281238,0.001229756387754391,0.0006256441962431865
Task 9956,0.5290384861108166,0.2401653460232085,0.003136612589171314,0.0019171768897170698,3.542497304044171e-05
Task 2074,0.7907057903286829,0.10316688445295633,0.005043611758882692,0.00042874574060245275,0.0006146800186015097
Task 219,0.8060383877098459,0.08987293208019179,0.0046931041429655925,0.0007151742495891908,0.0004364166645955747
Task 3512,0.7782600972192677,0.07986440668423812,0.009508253820169784,0.0006180138704184535,0.00012972649782174619
Task 3903,0.07129348276706039,0.27112160822952935,0.0030575936180567745,0.0008802793300030947,0.0028419359708276946
Task 18,0.2726448189658377,0.24807917873216548,0.019891934598174853,0.0014083885055078927,0.00017763978198436907
Task 3481,0.9508251507171498,0.010522415304111247,0.0011763712298929335,0.0001587656169652132,3.753338232698765e-05
Task 34538,0.9134249780798871,0.010389789381360624,0.012983381903291194,0.00013057754083114714,0.00022317336033793198
Task 49,0.5962079648864108,0.13966471659916918,0.01879758201549537,0.0016752215315216216,0.0005305239132657972
Task 3492,0.3109405283117914,0.37964188935716486,0.01785731498381829,0.0014910398474674046,0.0009657329994462263
Task 9970,0.12312252953363126,0.7192791552987698,0.010767594616672392,0.0007978841939616756,0.0009259379513746728
Task 14968,0.8629112620065251,0.03541063101405723,0.010279864299071266,0.001998774709825667,7.891353801857549e-05
Task 9954,0.5461887506650791,0.2223905330386859,0.013725475215825069,0.00024120603645580882,9.090267607926713e-05
Task 125923,0.9008403437970937,0.022821403252757732,0.00781457832432249,0.0005450896438731625,0.0001845765172823109
Task 32,0.3032951613708813,0.32765633723931287,0.015288022006411613,0.001470791518279805,0.0037835662821432874
Task 12,0.8872051345477094,0.0180339319606526,0.010071646143096835,0.0002483994857907301,0.00016275064915824365
Task 14966,0.9256602958925717,0.019414639243410456,0.0023647204086803594,8.149613851889887e-05,1.9298146870188754e-05
Task 9914,0.13361868520762726,0.10014602270378441,0.20106319266086042,0.00037838953417801603,0.001982803973531575
Task 58,0.9151230411741003,0.012088820333138284,0.0165624943261158,0.00024555381988807033,5.2821830894777814e-05
Task 3902,0.6221910422992063,0.12181913665240886,0.024629824692719668,0.0005046285613555358,0.00036381208344808604
Task 16,0.7633885992081737,0.08037870523007845,0.009475784040642622,0.0006063490559054831,0.0014132148643926886
Task 9971,0.14862537449735247,0.21407188126111382,0.0603146563656877,0.003499665918959515,0.000904656126998942
Task 15,0.5974484371837221,0.08096728478246173,0.011669521475338859,0.003110317318979915,0.000851731149852575
Task 3543,0.5856270174024397,0.113877875248979,0.028220195665156753,0.0008500684547432262,0.0022012037757229985
Task 23,0.6534031337651949,0.033012712105416064,0.007705439301432496,0.000946151044748894,0.0016765869702324576
Task 3549,0.9281539709077569,0.0112062926266727,0.009894566719145452,0.0008979175507154065,5.39174915350125e-05
Task 3,0.8760689965301167,0.026873208853820312,0.014332813296342952,0.00019836470503309741,1.713235808053419e-05
Task 9967,0.9326674027355717,0.010758327818788924,0.0038187486805529524,0.00010392593014962562,0.00015665498613290764
