task_id,param_id,param_name,variance_contribution
3899,complexity,complexity,0.024735269453294607
3899,coef0 / gamma,coef0 / gamma,0.030822600294733382
3899,gamma / tol,gamma / tol,0.028350947362436867
3899,coef0,coef0,0.015156473070200821
3899,tol,tol,0.019682272608696767
3899,imputation,imputation,0.0013708290407646083
3899,shrinking,shrinking,0.001093834986972195
3510,gamma,gamma,0.9584569918399252
3510,complexity / gamma,complexity / gamma,0.01371275239077896
3510,complexity,complexity,0.0060074242408606066
3510,coef0 / gamma,coef0 / gamma,0.00589790073686236
3510,gamma / tol,gamma / tol,0.003138840759337285
3510,coef0,coef0,0.001700548043430644
3510,tol,tol,0.0018823897021313439
3510,imputation,imputation,0.00010238265977218663
3510,shrinking,shrinking,2.0392765113727444e-05
9980,gamma,gamma,0.09503053861127844
9980,complexity / gamma,complexity / gamma,0.13243716698916005
9980,complexity,complexity,0.13092249423465796
9980,coef0 / gamma,coef0 / gamma,0.005004291804782929
9980,gamma / tol,gamma / tol,0.07315750776072882
9980,coef0,coef0,0.06715020903042479
9980,tol,tol,0.22467610503917002
9980,imputation,imputation,0.0003254723800476721
9980,shrinking,shrinking,0.0009892680475427106
34539,gamma,gamma,0.1427232678864827
34539,complexity / gamma,complexity / gamma,0.3821242728777511
34539,complexity,complexity,0.14853307261876358
34539,coef0 / gamma,coef0 / gamma,0.05184747201732903
34539,gamma / tol,gamma / tol,0.025335302178706463
34539,coef0,coef0,0.01812055011794002
34539,tol,tol,0.023978936960392418
34539,imputation,imputation,0.006575183642208873
34539,shrinking,shrinking,0.00027512039388743965
31,gamma,gamma,0.7843872383035236
31,complexity / gamma,complexity / gamma,0.06256364489078403
31,complexity,complexity,0.02157926648394901
31,coef0 / gamma,coef0 / gamma,0.024819310965424446
31,gamma / tol,gamma / tol,0.01794173426730666
31,coef0,coef0,0.0058120579063621865
31,tol,tol,0.016271195505474238
31,imputation,imputation,0.001552466532443486
31,shrinking,shrinking,0.00010158516750662861
125921,gamma,gamma,0.8051820414474661
125921,complexity / gamma,complexity / gamma,0.07460960108071402
125921,complexity,complexity,0.04653805890424419
125921,coef0 / gamma,coef0 / gamma,0.0027432421998944134
125921,gamma / tol,gamma / tol,0.020664631102812456
125921,coef0,coef0,0.0018479977665431455
125921,tol,tol,0.013519154968070895
125921,imputation,imputation,0.00028480298142690075
125921,shrinking,shrinking,0.0001604625940958049
41,gamma,gamma,0.8207559150275907
41,complexity / gamma,complexity / gamma,0.05934702741019604
41,complexity,complexity,0.05400838447907249
41,coef0 / gamma,coef0 / gamma,0.008693312867697034
41,gamma / tol,gamma / tol,0.005453932359931102
41,coef0,coef0,0.005890145402042855
41,tol,tol,0.003394223504612248
41,imputation,imputation,0.0005316054201553737
41,shrinking,shrinking,2.3603670500759563e-05
9955,gamma,gamma,0.3728478316195064
9955,complexity / gamma,complexity / gamma,0.3072307560436498
9955,complexity,complexity,0.2349140217098622
9955,coef0 / gamma,coef0 / gamma,0.004105917916809643
9955,gamma / tol,gamma / tol,0.008551869148983923
9955,coef0,coef0,0.001963232922414033
9955,tol,tol,0.0045098371386796425
9955,imputation,imputation,0.0011367825560133246
9955,shrinking,shrinking,0.00013991478613371248
11,gamma,gamma,0.9260494961797564
11,complexity / gamma,complexity / gamma,0.01576503898774162
11,complexity,complexity,0.005460679153120415
11,coef0 / gamma,coef0 / gamma,0.01125414934211888
11,gamma / tol,gamma / tol,0.009257802139596977
11,coef0,coef0,0.005876596789544089
11,tol,tol,0.0037120643800123195
11,imputation,imputation,0.00021532672607104363
11,shrinking,shrinking,5.9768013263321574e-05
20,gamma,gamma,0.9013011981908001
20,complexity / gamma,complexity / gamma,0.023349455369850114
20,complexity,complexity,0.009342192732585132
20,coef0 / gamma,coef0 / gamma,0.00578764795692821
20,gamma / tol,gamma / tol,0.016687591382379338
20,coef0,coef0,0.001725885205854374
20,tol,tol,0.007406416305102593
20,imputation,imputation,0.00010190651592046466
20,shrinking,shrinking,0.000551549353427555
3917,gamma,gamma,0.5753155145619299
3917,complexity / gamma,complexity / gamma,0.0246359773733843
3917,complexity,complexity,0.004831087808214809
3917,coef0 / gamma,coef0 / gamma,0.03788176129564891
3917,gamma / tol,gamma / tol,0.10271043074005881
3917,coef0,coef0,0.009192188201575458
3917,tol,tol,0.12894648608398862
3917,imputation,imputation,0.003884190516042236
3917,shrinking,shrinking,0.0001606198494267671
21,gamma,gamma,0.8824784400229025
21,complexity / gamma,complexity / gamma,0.01791731488891568
21,complexity,complexity,0.00931903976859233
21,coef0 / gamma,coef0 / gamma,0.030387720866405066
21,gamma / tol,gamma / tol,0.00801954984453537
21,coef0,coef0,0.018507371622430994
21,tol,tol,0.0043956389050718615
21,imputation,imputation,0.0002822714534533795
21,shrinking,shrinking,8.632362462694172e-05
7592,gamma,gamma,0.8774818341617867
7592,complexity / gamma,complexity / gamma,0.037345914404116054
7592,complexity,complexity,0.015524278583624658
7592,coef0 / gamma,coef0 / gamma,0.014655129629972063
7592,gamma / tol,gamma / tol,0.0033472266798118917
7592,coef0,coef0,0.008247678767848592
7592,tol,tol,0.0016489150546240743
7592,imputation,imputation,0.00030132529848540384
7592,shrinking,shrinking,7.18728400944154e-05
28,gamma,gamma,0.8607326518341742
28,complexity / gamma,complexity / gamma,0.03927127299477873
28,complexity,complexity,0.023773879937427758
28,coef0 / gamma,coef0 / gamma,0.005826505191169118
28,gamma / tol,gamma / tol,0.010930486953629566
28,coef0,coef0,0.00424616386526229
28,tol,tol,0.01023194960352876
28,imputation,imputation,0.0016132684656615863
28,shrinking,shrinking,0.0001767054191842139
9981,gamma,gamma,0.38432100308649886
9981,complexity / gamma,complexity / gamma,0.35136829250663026
9981,complexity,complexity,0.15556992639844608
9981,coef0 / gamma,coef0 / gamma,0.009614077372586294
9981,gamma / tol,gamma / tol,0.013368799293149141
9981,coef0,coef0,0.002588501220743359
9981,tol,tol,0.005417523116912588
9981,imputation,imputation,0.0005875450725815499
9981,shrinking,shrinking,0.0001562926201719039
14965,gamma,gamma,0.6284324067841697
14965,complexity / gamma,complexity / gamma,0.14475906703824892
14965,complexity,complexity,0.05272667861878272
14965,coef0 / gamma,coef0 / gamma,0.02930111991529394
14965,gamma / tol,gamma / tol,0.015754677784444497
14965,coef0,coef0,0.014988112418109666
14965,tol,tol,0.007281489865790255
14965,imputation,imputation,0.00512339297737255
14965,shrinking,shrinking,0.0003968249554909608
3560,gamma,gamma,0.46426875838998527
3560,complexity / gamma,complexity / gamma,0.07176567133092926
3560,complexity,complexity,0.060888001768051286
3560,coef0 / gamma,coef0 / gamma,0.08353704290798569
3560,gamma / tol,gamma / tol,0.03340768251739473
3560,coef0,coef0,0.05935382105740115
3560,tol,tol,0.012415763239808477
3560,imputation,imputation,0.003129025811011691
3560,shrinking,shrinking,0.000334926166469065
37,gamma,gamma,0.7906246583469065
37,complexity / gamma,complexity / gamma,0.055461668682073584
37,complexity,complexity,0.017653081639309814
37,coef0 / gamma,coef0 / gamma,0.018546212394039197
37,gamma / tol,gamma / tol,0.02528146422158945
37,coef0,coef0,0.012853419733068827
37,tol,tol,0.008357082572307656
37,imputation,imputation,0.0005096353854970208
37,shrinking,shrinking,0.0005903263427350033
14,gamma,gamma,0.7052374115440168
14,complexity / gamma,complexity / gamma,0.14156295771478877
14,complexity,complexity,0.09095476746855474
14,coef0 / gamma,coef0 / gamma,0.007872336276548264
14,gamma / tol,gamma / tol,0.010607317141703215
14,coef0,coef0,0.005900762847226281
14,tol,tol,0.005333910246335833
14,imputation,imputation,0.0002787427949175273
14,shrinking,shrinking,8.664033817689652e-05
3948,gamma,gamma,0.5066460464543685
3948,complexity / gamma,complexity / gamma,0.1315297787084948
3948,complexity,complexity,0.05180216411186919
3948,coef0 / gamma,coef0 / gamma,0.01909533408820474
3948,gamma / tol,gamma / tol,0.09150440468074209
3948,coef0,coef0,0.0027711352328797286
3948,tol,tol,0.008606418592584347
3948,imputation,imputation,0.002474906854816643
3948,shrinking,shrinking,1.900217956307759e-05
3494,gamma,gamma,0.8122955426281754
3494,complexity / gamma,complexity / gamma,0.06118044143095425
3494,complexity,complexity,0.015722015233850598
3494,coef0 / gamma,coef0 / gamma,0.01826884379018512
3494,gamma / tol,gamma / tol,0.009473947178226676
3494,coef0,coef0,0.015219713158128558
3494,tol,tol,0.00433490289168072
3494,imputation,imputation,0.0004086650321480246
3494,shrinking,shrinking,0.0001640042034899309
29,gamma,gamma,0.9465009553239003
29,complexity / gamma,complexity / gamma,0.01678923401186483
29,complexity,complexity,0.006514581457745071
29,coef0 / gamma,coef0 / gamma,0.002680930165456008
29,gamma / tol,gamma / tol,0.0034155748490428558
29,coef0,coef0,0.003159818501716197
29,tol,tol,0.002081937055588247
29,imputation,imputation,4.041040200956556e-05
29,shrinking,shrinking,0.0012670693326744856
146607,gamma,gamma,0.547576182003736
146607,complexity / gamma,complexity / gamma,0.18212483190176876
146607,complexity,complexity,0.04441580070984888
146607,coef0 / gamma,coef0 / gamma,0.04212512013727521
146607,gamma / tol,gamma / tol,0.04265286704794878
146607,coef0,coef0,0.013949719000202641
146607,tol,tol,0.006103711070811993
146607,imputation,imputation,0.0007683378402809661
146607,shrinking,shrinking,0.0008712201652482453
9946,gamma,gamma,0.9008694592547616
9946,complexity / gamma,complexity / gamma,0.020084851114542945
9946,complexity,complexity,0.016427706149838954
9946,coef0 / gamma,coef0 / gamma,0.01289187247460255
9946,gamma / tol,gamma / tol,0.00640292341009777
9946,coef0,coef0,0.010117174423827511
9946,tol,tol,0.005609556550521724
9946,imputation,imputation,0.0008295048333408767
9946,shrinking,shrinking,2.026348042270986e-05
125922,gamma,gamma,0.8444768349270046
125922,complexity / gamma,complexity / gamma,0.07960020313661076
125922,complexity,complexity,0.04538232105768471
125922,coef0 / gamma,coef0 / gamma,0.00320266369394151
125922,gamma / tol,gamma / tol,0.0030126126979371465
125922,coef0,coef0,0.0013921761903340313
125922,tol,tol,0.002351589264832175
125922,imputation,imputation,0.00027650378416900555
125922,shrinking,shrinking,0.00010766663859516359
14970,gamma,gamma,0.9666498476952976
14970,complexity / gamma,complexity / gamma,0.013209662663275057
14970,complexity,complexity,0.0025198515545855034
14970,coef0 / gamma,coef0 / gamma,0.001604093788658112
14970,gamma / tol,gamma / tol,0.007792518609703709
14970,coef0,coef0,0.00013502395016668834
14970,tol,tol,0.0025245123778720384
14970,imputation,imputation,6.315656952419555e-05
14970,shrinking,shrinking,3.047405235164271e-05
3567,gamma,gamma,0.960742156604037
3567,complexity / gamma,complexity / gamma,0.014083706159472964
3567,complexity,complexity,0.005392255278226549
3567,coef0 / gamma,coef0 / gamma,0.007939925858826635
3567,gamma / tol,gamma / tol,0.0013902471228225458
3567,coef0,coef0,0.004979700181695717
3567,tol,tol,0.0005930317223421474
3567,imputation,imputation,7.585841188042272e-05
3567,shrinking,shrinking,2.9243874791318212e-05
9979,gamma,gamma,0.9661010113701384
9979,complexity / gamma,complexity / gamma,0.00936510449159167
9979,complexity,complexity,0.004807747663100879
9979,coef0 / gamma,coef0 / gamma,0.0025705182572073326
9979,gamma / tol,gamma / tol,0.004438220659339396
9979,coef0,coef0,0.0011070517022138218
9979,tol,tol,0.001316024151401764
9979,imputation,imputation,0.00011301393339420547
9979,shrinking,shrinking,2.0024348195503277e-05
3946,gamma,gamma,0.4367948409243751
3946,complexity / gamma,complexity / gamma,0.11784438385678048
3946,complexity,complexity,0.026979456244519636
3946,coef0 / gamma,coef0 / gamma,0.06866292045410388
3946,gamma / tol,gamma / tol,0.06288073948993647
3946,coef0,coef0,0.05576849418650848
3946,tol,tol,0.02519995183247429
3946,imputation,imputation,0.0030958245145040445
3946,shrinking,shrinking,0.0006657185576612903
9952,gamma,gamma,0.6359912673038244
9952,complexity / gamma,complexity / gamma,0.08067894341874693
9952,complexity,complexity,0.04593567912349922
9952,coef0 / gamma,coef0 / gamma,0.05455161979925027
9952,gamma / tol,gamma / tol,0.012160788278340679
9952,coef0,coef0,0.0369828232419664
9952,tol,tol,0.007384023371513097
9952,imputation,imputation,0.0007497022236052828
9952,shrinking,shrinking,0.0001756051717116955
45,gamma,gamma,0.9669774810082973
45,complexity / gamma,complexity / gamma,0.01319104875107402
45,complexity,complexity,0.009446167682477196
45,coef0 / gamma,coef0 / gamma,0.0012505472643108417
45,gamma / tol,gamma / tol,0.001936123656139949
45,coef0,coef0,0.0004741905883378262
45,tol,tol,0.00022296202430414612
45,imputation,imputation,9.449830783104265e-05
45,shrinking,shrinking,7.850328592275459e-06
9977,gamma,gamma,0.8979551679377826
9977,complexity / gamma,complexity / gamma,0.028523227199838463
9977,complexity,complexity,0.03124947462196883
9977,coef0 / gamma,coef0 / gamma,0.014582100160163924
9977,gamma / tol,gamma / tol,0.004125912918555659
9977,coef0,coef0,0.01286630049730183
9977,tol,tol,7.207050603444238e-05
9977,imputation,imputation,3.61628620146963e-05
9977,shrinking,shrinking,8.778806748958527e-06
9964,gamma,gamma,0.8260199597455805
9964,complexity / gamma,complexity / gamma,0.07066139005150596
9964,complexity,complexity,0.045821413533355615
9964,coef0 / gamma,coef0 / gamma,0.01269539746102255
9964,gamma / tol,gamma / tol,0.003543729835952073
9964,coef0,coef0,0.009178929692354596
9964,tol,tol,0.0008513857311016695
9964,imputation,imputation,0.0004019041844422987
9964,shrinking,shrinking,0.0010698197955899217
22,gamma,gamma,0.7866559086243358
22,complexity / gamma,complexity / gamma,0.09686532161646821
22,complexity,complexity,0.06643599268144146
22,coef0 / gamma,coef0 / gamma,0.005733314916969379
22,gamma / tol,gamma / tol,0.0034509713407808672
22,coef0,coef0,0.0018165694218733842
22,tol,tol,0.0017177383699763572
22,imputation,imputation,0.0009014180610604121
22,shrinking,shrinking,8.646049600166895e-05
36,gamma,gamma,0.6910496515172179
36,complexity / gamma,complexity / gamma,0.12669422597043956
36,complexity,complexity,0.12220019948105265
36,coef0 / gamma,coef0 / gamma,0.006538378561057434
36,gamma / tol,gamma / tol,0.005055572226312257
36,coef0,coef0,0.0019360226848748711
36,tol,tol,0.0021496945250495374
36,imputation,imputation,0.0010920937209099972
36,shrinking,shrinking,1.7944743842687264e-05
43,gamma,gamma,0.8800151606474163
43,complexity / gamma,complexity / gamma,0.00795260923850205
43,complexity,complexity,0.0010021556136193403
43,coef0 / gamma,coef0 / gamma,0.02746554487558317
43,gamma / tol,gamma / tol,0.018232969409481437
43,coef0,coef0,0.019042927170735795
43,tol,tol,0.01362487405370022
43,imputation,imputation,0.00018898946634738852
43,shrinking,shrinking,0.0002795325404308041
14964,gamma,gamma,0.7144695520419583
14964,complexity / gamma,complexity / gamma,0.04292172546553907
14964,complexity,complexity,0.022202148509088283
14964,coef0 / gamma,coef0 / gamma,0.050668288861851596
14964,gamma / tol,gamma / tol,0.013327310477464074
14964,coef0,coef0,0.030357292933385037
14964,tol,tol,0.004532131095603552
14964,imputation,imputation,0.0005428433569000943
14964,shrinking,shrinking,0.0005793954257048488
53,gamma,gamma,0.6821911443459135
53,complexity / gamma,complexity / gamma,0.17566252575988028
53,complexity,complexity,0.05154695255295868
53,coef0 / gamma,coef0 / gamma,0.009159782301166097
53,gamma / tol,gamma / tol,0.018037395233039655
53,coef0,coef0,0.0031856765315562354
53,tol,tol,0.007709858745614305
53,imputation,imputation,0.0004635561105308945
53,shrinking,shrinking,5.778081444478454e-05
14967,gamma,gamma,0.914237375676588
14967,complexity / gamma,complexity / gamma,0.01274944645540188
14967,complexity,complexity,0.004402241316020251
14967,coef0 / gamma,coef0 / gamma,0.014723647200449053
14967,gamma / tol,gamma / tol,0.010171747556959362
14967,coef0,coef0,0.005679079482559868
14967,tol,tol,0.0019386984768399315
14967,imputation,imputation,0.0008532078956984103
14967,shrinking,shrinking,0.00010105376129910326
14969,gamma,gamma,0.7662471252414862
14969,complexity / gamma,complexity / gamma,0.02177180529228051
14969,complexity,complexity,0.007491221800597295
14969,coef0 / gamma,coef0 / gamma,0.041502656434480034
14969,gamma / tol,gamma / tol,0.033338891011495085
14969,coef0,coef0,0.0351988544699515
14969,tol,tol,0.019388608314462354
