,hyperparameter,importance_max_min,importance_variance,n_hyperparameters,task_id
52,learning_rate_init / resize_crop,43.54450334628975,0.0012495033699035686,2,cifar10
53,learning_rate_init / shuffle,44.08815230836973,5.512392213837131e-06,2,cifar10
54,learning_rate_init / tolerance,55.10489872105638,0.0003014718857241595,2,cifar10
55,learning_rate_init / vertical_flip,44.07907460541054,0.0004372151242490847,2,cifar10
56,learning_rate_init / weight_decay,57.35568907998595,0.07527321900813813,2,cifar10
57,momentum / patience,7.4926993266199275,0.005854749201067192,2,cifar10
58,momentum / resize_crop,5.8063909159375555,0.0013651106521825837,2,cifar10
59,momentum / shuffle,5.551709731277768,0.00011189186904395045,2,cifar10
60,momentum / tolerance,6.9291715420497155,0.0004402677447481732,2,cifar10
61,momentum / vertical_flip,5.698809493697041,0.0001491775719213062,2,cifar10
62,momentum / weight_decay,13.402231562880402,0.0291489566368799,2,cifar10
63,patience / resize_crop,0.0,0.0003041616817865416,2,cifar10
64,patience / shuffle,0.0,0.0001070405466417656,2,cifar10
65,patience / tolerance,1.70797749592343,0.0022627360187437696,2,cifar10
66,patience / vertical_flip,0.0,6.83368059845473e-05,2,cifar10
67,patience / weight_decay,9.226138556668985,0.004117179356838572,2,cifar10
68,resize_crop / shuffle,0.46530025468665315,1.7534837513324793e-06,2,cifar10
69,resize_crop / tolerance,1.148987391265095,3.098899045341874e-05,2,cifar10
70,resize_crop / vertical_flip,0.7072532673107474,7.098588181358892e-05,2,cifar10
71,resize_crop / weight_decay,8.388284930478804,0.0005780707898946502,2,cifar10
72,shuffle / tolerance,0.8788951583229476,3.733150267258886e-06,2,cifar10
73,shuffle / vertical_flip,0.5309931146067584,1.565494731774933e-05,2,cifar10
74,shuffle / weight_decay,7.898388715383049,2.7849712440031944e-05,2,cifar10
75,tolerance / vertical_flip,0.7399641926932787,1.5961314014488374e-05,2,cifar10
76,tolerance / weight_decay,8.32799182445926,0.0015919608876832636,2,cifar10
77,vertical_flip / weight_decay,8.114536682145001,0.0002181621812855456,2,cifar10
0,batch_size,3.7019526848792736,0.03862756748885275,1,cifar100
1,epochs,34.62404844069995,0.1654178008244882,1,cifar100
2,horizontal_flip,0.02256952808082957,0.0010668671571566336,1,cifar100
3,learning_rate_decay,11.440958548927362,0.056622669027080984,1,cifar100
4,learning_rate_init,40.82952219141328,0.07883846408178494,1,cifar100
5,momentum,7.044473777590966,0.10038932211223459,1,cifar100
6,patience,3.678967394450325,0.05345874943450855,1,cifar100
7,resize_crop,1.260579064701119,0.005421688352128898,1,cifar100
8,shuffle,0.3799797889947669,0.0028555609325119735,1,cifar100
9,tolerance,0.5735497562722784,0.0009706778515779324,1,cifar100
10,vertical_flip,0.7625146569166006,0.010909571889550218,1,cifar100
11,weight_decay,8.68717695382638,0.07587962465901266,1,cifar100
12,batch_size / epochs,37.09123560337245,0.02682694226199275,2,cifar100
13,batch_size / horizontal_flip,0.3013914344183135,3.447819828003831e-05,2,cifar100
14,batch_size / learning_rate_decay,14.203932852972237,0.005364411068277553,2,cifar100
15,batch_size / learning_rate_init,44.899465937227184,0.008647460802260714,2,cifar100
16,batch_size / momentum,11.225989522021244,0.02840643667850528,2,cifar100
17,batch_size / patience,7.3044853127832425,0.007394399684685681,2,cifar100
18,batch_size / resize_crop,1.39067950092862,0.0008524721676378424,2,cifar100
19,batch_size / shuffle,0.18266572075138754,0.01065244753612185,2,cifar100
20,batch_size / tolerance,4.115666471267829,0.0011974280019881893,2,cifar100
21,batch_size / vertical_flip,1.0552183858570245,0.000587676979822942,2,cifar100
22,batch_size / weight_decay,13.823384044764914,0.01912096975772601,2,cifar100
23,epochs / horizontal_flip,0.08298257993716263,0.00020290472777956473,2,cifar100
24,epochs / learning_rate_decay,37.544803000880236,0.001711355374878779,2,cifar100
25,epochs / learning_rate_init,47.9237327042965,0.011512979660450569,2,cifar100
26,epochs / momentum,39.73709688930226,0.008365642958521274,2,cifar100
27,epochs / patience,36.14351539278692,0.00793650191840828,2,cifar100
28,epochs / resize_crop,0.18298797486831653,0.001186927607889567,2,cifar100
29,epochs / shuffle,0.07833981885016073,0.0013235283347066136,2,cifar100
30,epochs / tolerance,35.18966202655721,0.0021163830263063728,2,cifar100
31,epochs / vertical_flip,0.027610693970368416,0.0012107648420949732,2,cifar100
32,epochs / weight_decay,42.75954048771712,0.007908917568712195,2,cifar100
33,horizontal_flip / learning_rate_decay,11.488677683040642,2.6211262327483395e-05,2,cifar100
34,horizontal_flip / learning_rate_init,41.109452802828514,0.0036575126549810775,2,cifar100
35,horizontal_flip / momentum,7.131683467411243,0.0007666608696504866,2,cifar100
36,horizontal_flip / patience,3.7146972513395298,5.467171346878409e-05,2,cifar100
37,horizontal_flip / resize_crop,1.3600983896447403,0.0001565924712278724,2,cifar100
38,horizontal_flip / shuffle,0.4025493170756036,9.105487945082707e-07,2,cifar100
39,horizontal_flip / tolerance,0.45830177144761564,1.2890421044685001e-05,2,cifar100
40,horizontal_flip / vertical_flip,0.7850841849973946,8.01423102334689e-07,2,cifar100
41,horizontal_flip / weight_decay,8.820089222490573,0.0009025436101182524,2,cifar100
42,learning_rate_decay / learning_rate_init,44.231629301694056,0.0017536082598753535,2,cifar100
